Project,Scenario,Dollar_year,Weather_year,Start_day,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambium24,allScenarios,2023$,2012,Sunday,usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,Geography,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Energy Capacity,Energy Capacity,Energy Capacity
MidCase,ERCOT,2035,525763500,19202960,9588.6,5202970.5,550179000,506863653.7,115701440,3271559,15897098,0.0359,0.0539,0.12,100310.39,116447,49.4,1,0.1,6.5,364.3,0.04,49.4,17.4,66.8,54.9,1.1,0.12,7.2,404.5,0.04,55,19.3,74.3,52.6,1.1,0.13,6.3,367.2,0.03,52.7,17.2,70,256.5,5.2,0.59,30.6,1837.5,0.14,256.9,85.3,342.2,27779828.8,544.4,58.4,3664114.9,205049.3,21.8,27811989.4,9780534.3,37592523.6,21.34,17.32,0,38.66,23.15,19.3,0,42.45,28461748,56263910,84725656,562804540,434477500,16263773,599889.2,0,0,0,14684037,68278500,1637833.8,0,622847.4,39777090,1139396.4,7654.1,158811820,260981710,0,12815.7,100.6,0,0,9563.8,37319.1,7954,0,562.7,4980,6789,5,83378.2,0,75003.6,51262.9,40,0
MidCase,ERCOT,2040,587657340,31455030,9484.6,4929759,624051600,566531916.7,142146200,3670467.2,12997640,0.0359,0.0539,0.12,114456.25,130783,49.1,0.9,0.09,6.4,370.4,0.03,49.2,17.4,66.6,54.9,1,0.11,7.1,413.5,0.04,54.9,19.5,74.4,105.3,2,0.21,12.5,785.7,0.05,105.4,35.9,141.3,260.7,5,0.53,30.9,1935.1,0.12,261,88.6,349.6,31124457.9,590.8,59.9,4048328.2,234614.3,21.8,31158415.3,11045797.8,42204213,21.46,20.28,0,41.74,23.52,23.01,0,46.53,28004560,50439916,78444470,633378750,481905340,26623136,599889.2,0,0,0,15931173,82132910,1463521.9,0,623547.7,39777090,245750.4,7530.4,191085200,274889020,0,22449.7,100.6,0,0,10372.1,44974.4,18031.9,0,562.7,4980,5521,5,94069.9,0,77072.2,89798.9,40,0
MidCase,ERCOT,2045,636448960,28750156,9659.2,4790668,669999400,613570102.6,127747610,5139235,18982482,0.0359,0.0539,0.12,95455.06,143357.6,41.9,0.8,0.08,5.5,315.3,0.03,41.9,14.9,56.8,46.8,0.9,0.09,6.1,351.7,0.03,46.8,16.6,63.4,53.1,1,0.11,6.3,396.2,0.02,53.2,18.1,71.3,228,4.4,0.46,27,1691.5,0.11,228.3,77.4,305.7,28648135.1,545.3,55.6,3756565.9,215623,20.9,28679554.5,10187827,38867381.4,19.28,17.12,0,36.41,21.04,19.24,0,40.28,52307292,97126120,149433400,683842700,542251840,24336022,599889.2,0,0,0,18201576,73624960,2332484.8,0,604632.6,39777090,308065.4,7717.4,205197490,318852770,0,20499.5,100.6,0,0,11865.6,43712.3,16832.9,0,562.7,4980,3273.2,5,116217.9,0,92246.7,81998,40,0
MidCase,ERCOT,2050,681279900,41116372,8504.4,4784411.5,727189100,656790192.6,128403350,6338975.5,21068174,0.0359,0.0539,0.12,106333.9,158003.7,33.7,0.6,0.06,4.5,255.2,0.03,33.8,12.1,45.9,38.1,0.7,0.07,5.1,288.6,0.03,38.2,13.7,51.8,56.7,1.1,0.11,6.7,426.5,0.02,56.7,19.4,76.1,207.3,3.9,0.4,24.5,1553.6,0.09,207.5,70.8,278.3,25022905.6,472.8,47.5,3325527.8,189374,18.9,25049962.2,8974042.8,34024005,16.88,19.27,0,36.14,18.46,22,0,40.46,75001784,110032360,185034130,741918340,598785800,34806036,599889.2,0,0,0,22311388,65579724,1706069.6,0,590159.3,39777090,66782.3,6798.4,227260620,349213760,0,31089.6,100.6,0,0,14511.8,44832.5,16624.9,0,562.7,4980,1259.2,5,129261,0,104007.9,124358.4,40,0
MidCase,FRCC,2025,271088480,629835.8,0,41190.7,271759500,261346536.3,246734750,1257329.1,152326.6,0.0359,0.0539,0.12,129023.18,65740.5,353.2,16.1,2.13,34.9,2590.7,0.19,354.3,112.1,466.4,367.2,16.8,2.22,36.2,2688.1,0.19,368.3,116.4,484.7,383.8,7.6,0.78,45.1,3551.3,0.17,384.3,150.9,535.2,445,10.5,1.24,51.6,3844.5,0.24,445.7,166.2,611.9,95606187.4,4357.4,576,9443517.4,701182,50.5,95893287.8,30352538.7,126245826.5,42.49,26.54,0,69.04,45,28.63,0,73.63,0,0,0,270654500,25024752,538761.1,3635373.5,0,26695728,0,2802890.2,183189470,1512994.4,0,216437.4,29281690,559293,0,22221862,0,0,688.2,672.4,3764.2,0,1771.9,38501.9,8691.8,0,54.5,3666,4583.5,0,9294.3,0,0,2752.9,0,0
MidCase,FRCC,2030,295049900,2778210.2,0,48770.9,297876860,284446937.9,258709150,906874,742527.6,0.0359,0.0539,0.12,129020.78,69467.1,290.7,8.2,0.97,33.4,2045.6,0.15,291.2,94.4,385.7,304.1,8.6,1.01,34.9,2138.5,0.16,304.6,98.7,403.3,259,9.5,1.23,26.7,1660.6,0.13,259.7,76.2,335.8,466.5,19.4,2.54,45.8,2896.6,0.22,467.8,132.2,600,86557080.1,2436.5,287.5,9948349.1,609012.9,44.8,86708177.1,28109151.6,114817328.7,32.22,26.15,0,58.37,34.15,28.4,0,62.55,0,0,0,297712500,39167720,2366261,3694621.5,0,8514026,0,5482469,214009810,414339.9,0,229464,29281690,34592.6,0,33068518,616732.2,0,2553.2,680.4,3764.2,0,3463.9,47095.6,8517.8,0,57.5,3666,4161.5,0,13658.3,0,290,10212.9,0,0
MidCase,FRCC,2035,330842620,21595380,0,347497.2,352785500,318953400.5,228965090,2676568,2955064.2,0.0359,0.0539,0.12,108411.53,77729.2,183.8,3.5,0.35,23,1388.6,0.1,184,64.4,248.4,202.3,3.8,0.38,25.3,1528.4,0.11,202.5,70.9,273.4,173.8,3.4,0.35,20.6,1290.2,0.08,174,59.1,233.1,365.9,7,0.73,43.3,2724.8,0.17,366.4,124.6,490.9,64879632.3,1223.4,122.5,8117107.4,490269.9,34.9,64949524.2,22736671.1,87686195.3,33.09,20.73,0,53.81,35.64,23.74,0,59.38,2702.4,1340390.4,1343092.8,353064000,123820390,18380008,3694621.5,0,0,0,8840111,177292110,329403.5,0,229388.5,29281690,36375.2,0,114361576,618695.8,0,13092.8,680.4,0,0,5616,46923.6,8420.8,0,57.5,3666,3929.5,0,47298,0,290,52371.2,0,0
MidCase,FRCC,2040,372987650,28855686,0,515107.5,402358460,359583936.5,240278880,4398763.5,4402796.5,0.0359,0.0539,0.12,114206.7,88067.4,164.5,3.1,0.31,20.6,1243,0.09,164.6,57.6,222.3,182.6,3.4,0.34,22.9,1379.9,0.1,182.8,64,246.8,205.8,3.9,0.39,24.3,1551.1,0.09,206,70.6,276.6,338.5,6.4,0.65,40,2542.9,0.15,338.9,115.8,454.8,66172536,1247.4,124.8,8269593.9,500136.2,35.4,66243773.5,23183316.9,89427090.4,32.85,21.9,0,54.75,35.59,25.38,0,60.96,18077.4,3334851.5,3352929,402362500,162079580,24552370,3695575.5,0,0,0,10795376,182313000,197670,0,229237.4,29281690,13381.4,0,142808220,8475979,0,18398.3,680.6,0,0,6860.2,51879.5,8408.8,0,57.5,3666,3744.2,0,59766.5,0,3624,73593.4,0,0
MidCase,FRCC,2045,414660220,34285028,0,644051.1,449589300,399759023,258906340,5237079,5289982.5,0.0359,0.0539,0.12,115441.92,98629.6,157.4,3,0.3,19.5,1189.2,0.08,157.5,54.9,212.5,175.4,3.3,0.33,21.8,1325.8,0.09,175.6,61.3,236.9,189.7,3.6,0.36,22.4,1430.3,0.08,189.9,65.1,254.9,318.5,6,0.61,37.6,2395.8,0.14,318.8,109.1,427.9,70755167.1,1333.5,133.4,8760144.3,534705.1,37.1,70831315.6,24704494.4,95535810,29.59,22.19,0,51.78,32.26,25.87,0,58.13,24425.9,7385398.5,7409824,449642180,190682960,29172412,3179972.8,0,0,0,13187224,197030860,61959,0,229237.4,29281690,3102.7,0,168932180,8563559,0,21961.1,610.6,0,0,8403.5,60086.4,8334.8,0,57.5,3666,3272.2,0,71451.2,0,3624,87844.3,0,0
MidCase,FRCC,2050,456684600,43249276,0,846935.9,500780800,440273340.2,280986750,5993622.5,6293312,0.0359,0.0539,0.12,115175.46,109670.4,150.5,2.8,0.28,18.6,1137,0.08,150.6,52.5,203.1,169.6,3.2,0.32,21,1281.6,0.09,169.8,59.2,229,151.3,2.9,0.29,17.9,1140.6,0.07,151.5,51.9,203.3,317.4,6,0.6,37.5,2394.3,0.14,317.7,108.9,426.6,75396251.3,1421,142.1,9308361.3,569741.9,39.1,75477388.2,26297355.8,101774744,27.48,22.05,0,49.53,30.11,26.02,0,56.13,12376.1,10321167,10333544,501080480,219794020,36824164,3179972.8,0,0,0,14335922,211757810,13648.3,0,229161.9,29281690,1.9,0,196819900,8638213,0,28018.3,610.6,0,0,9160.5,67635.4,7441.8,0,57.5,3666,2267.1,0,83407.7,0,3624,112073.2,0,0
