Project,Scenario,Dollar_year,Weather_year,Start_day,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambium24,allScenarios,2023$,2012,Sunday,usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,Geography,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Energy Capacity,Energy Capacity,Energy Capacity
HighRECost,MISO_South,2030,230936060,368406,51016.1,985222.8,232340700,222634121,170683440,11238911,2737246.5,0.0359,0.054,0.12,114920.42,50236.1,202.3,5.3,0.64,24.7,1403.6,0.14,202.6,66.6,269.2,203.9,5.4,0.66,24.8,1410.6,0.15,204.2,66.9,271.1,346.4,9.9,1.25,38.8,2308.9,0.2,347.1,107.6,454.7,461.9,20.5,2.85,45.8,2579.7,0.31,463.3,122.7,586,45280551.4,1193.3,144,5526217.6,314190.7,32.4,45355435.2,14897944.8,60253379.9,28.74,22.27,0,51.01,30.44,24.02,0,54.46,126652,73972.9,200624.9,223839060,61657270,313655,1116615.9,0,3409842.5,0,880886.6,107655440,398250.4,0,3674063.5,42746000,2826917,41003,51217140,9559244,0,213.9,154.7,4544.5,0,580.2,25326.9,3324.1,0,1257.2,5351.7,7050.8,30,21379.6,0,3299.2,855.7,240,0
HighRECost,MISO_South,2035,257431760,361684.2,69434.2,2107954.2,259970850,248177131.8,167866690,52659884,17266090,0.0359,0.054,0.12,106428.52,54147.9,139.5,2.7,0.28,18.4,1039.2,0.1,139.6,49.4,189,126.3,2.4,0.26,16.6,940.8,0.09,126.5,44.6,171.1,238.3,4.7,0.51,28.3,1746,0.12,238.6,80.3,318.9,280.2,5.5,0.6,33.3,2050.4,0.14,280.5,94.4,374.9,31318003.2,605.1,63.3,4122442.1,233380.8,23.5,31353326.5,11083606.8,42436933.3,29.12,20.18,0,49.29,30.89,21.76,0,52.64,91456.1,870098.1,961554.2,224577060,92104140,308114.4,1116615.9,0,0,0,946381.8,83279360,404351.1,0,3674063.5,42746000,888509.4,55879.5,77529780,13627987,0,213.5,154.7,0,0,627.9,28779.5,3334.6,0,1257.2,5351.7,4156.2,30,32747.3,0,4563.8,853.9,240,0
HighRECost,MISO_South,2040,281819840,0,78408.5,2390068.2,284288300,271688370.9,178003040,58318744,19984234,0.0359,0.054,0.12,107121.66,59637.1,137.6,2.7,0.28,18,1027.1,0.1,137.8,48.6,186.4,124.9,2.4,0.25,16.3,931.6,0.09,125.1,44.1,169.1,188,3.6,0.36,22.2,1410.7,0.08,188.2,64.3,252.5,261.9,5.1,0.54,31,1935.5,0.13,262.1,88.7,350.9,33855092.7,652.6,68,4421907.7,252622.3,24.6,33893106.2,11956758.2,45849864.4,29.46,20.46,0,49.92,31.24,22.05,0,53.29,147090,4065299.2,4212389,245953800,106285260,0,1116615.9,0,0,0,940789.2,90787310,415474.2,0,3674063.5,42746000,866079.3,62987.8,90844744,14499733,0,0,154.7,0,0,633.8,31880.7,3338.6,0,1257.2,5351.7,4156.2,30,39689.7,0,4857.5,0,240,0
HighRECost,MISO_South,2045,301643940,529922,79606.3,2511785,304765250,290800018.4,189814770,60336790,20750636,0.0359,0.054,0.12,109658.94,64387,139.1,2.6,0.27,18,1047.1,0.1,139.3,49.2,188.5,126.2,2.4,0.24,16.3,949.4,0.09,126.3,44.6,170.9,216.5,4.1,0.41,25.6,1628.9,0.1,216.8,74.2,290.9,255.7,4.9,0.5,30.2,1910.5,0.12,255.9,87.2,343.2,36893197.2,701.7,71.4,4775429.2,277682,25.2,36933591,13057231.9,49990822.9,27.47,21.34,0,48.81,29.15,23.06,0,52.21,182993.1,6489351.5,6672344.5,265179090,114950480,452321,1116615.9,0,0,0,1034815.6,101523704,267499.2,0,3674063.5,42746000,384494.2,63911.6,99421920,14493747,0,320.1,154.7,0,0,702.3,37776.6,3327.4,0,1257.2,5351.7,3113.4,30,44287.4,0,4857.5,1280.3,240,0
HighRECost,MISO_South,2050,317827680,4522409,82964.8,2626984.5,325060030,306402301.7,197486720,64493464,20543890,0.0359,0.054,0.12,108063.53,69329.2,130.1,2.5,0.25,16.8,983.5,0.09,130.3,46.2,176.4,118,2.2,0.22,15.3,891.7,0.08,118.1,41.9,160,197.7,3.7,0.38,23.4,1489.4,0.09,197.9,67.8,265.7,254.7,4.8,0.49,30.1,1909.1,0.11,255,87,342,36580434.7,691.4,69.5,4735591,276470.6,24.7,36620013.3,12981152.8,49601166.1,24.71,21.24,0,45.96,26.44,23.25,0,49.69,202561.4,10188235,10390796,281110460,127573330,3857124.8,1116615.9,0,0,0,1374005.4,101756320,194767.6,0,3674063.5,42746000,125659.9,66598.4,111705240,14494074,0,2725.8,154.7,0,0,935.9,41033.7,3276.5,0,1257.2,5351.7,1093.5,30,50998.3,0,4857.5,10903.4,240,0
HighRECost,NYISO,2025,158741890,1226767.4,600977.2,252253.1,160821890,153034826.7,130728216,3381109.2,503389.6,0.0359,0.054,0.12,22215.68,36512,173.9,4.4,0.64,23.3,1252.4,0.2,174.3,60.7,234.9,185.5,4.9,0.72,24.6,1330,0.21,185.9,64.2,250.1,226.8,7,1.15,27.7,1312,0.29,227.3,66.9,294.2,609.5,25.1,3.92,67.3,3352.3,0.68,611.4,167.3,778.7,27474164,689.8,101.5,3681956.4,197802.5,32.2,27522440.8,9585263,37107703.8,42.42,4.36,11.06,57.83,44.94,4.75,11.69,61.37,0,0,0,157944180,30093674,1046760.8,1989598.8,10790100,0,0,3547725.5,49133344,785133.8,0,26503520,26688192,10435712,478133.8,8047024,18075702,423223.2,1750,389.6,0,0,2552.1,9588.7,2662.1,0,4553.7,3341.3,12192.8,1426.8,4151.2,132,5428.9,7000,11414.4,0
HighRECost,NYISO,2030,170299740,3032702.5,1374294,202225.9,174908980,164176327.4,109543380,1556994.4,3697343.2,0.0359,0.054,0.12,22218.03,38288.7,96.3,2.3,0.34,13.6,591.1,0.12,96.4,31.2,127.6,103.2,2.5,0.36,14.5,634.7,0.13,103.4,33.5,136.8,157.1,4.8,0.83,19.7,701.9,0.22,157.5,40.7,198.2,515.7,15.7,2.45,62.1,2701.2,0.58,516.8,142.7,659.5,17046565,415.7,59.4,2399152.3,104652.7,21.1,17075180.4,5523562.2,22598742.6,27.75,3.92,13.65,45.45,29.58,4.31,14.46,48.48,196494.9,22313,218807.8,177049330,65365600,2589573,1989598.8,13350415,0,0,4011505.5,32760492,220930.6,0,27689120,26688192,5300509.5,1094891.2,22343962,25208870,13801262,3000,389.6,0,0,2888.8,9352.8,533.3,0,4745.1,3341.3,7452.1,1426.8,11597.5,3801,6865.9,12000,11414.4,0
HighRECost,NYISO,2035,186261310,4554851.5,1366016.9,431360.9,192613540,179563188,110312370,7719268,7874412,0.0359,0.054,0.12,148146.42,41052.1,87.5,2.2,0.34,12.3,508.6,0.12,87.6,27.5,115.1,93.4,2.4,0.35,13.1,547.5,0.12,93.5,29.5,123,137.7,3.9,0.64,17.1,700.6,0.17,138,38,176.1,428.3,10.6,1.54,52.3,2573.5,0.4,429.1,129.1,558.1,16864766.3,432.2,64.9,2372267.9,98043.8,22.6,16895358.7,5300153.3,22195511.9,28.23,25.99,0.2,54.41,30.18,28.72,0.21,59.12,1496254,77766.2,1574020.2,192768690,82301160,3881098.5,1584482.1,13096498,0,0,3604319.5,29991360,52271.2,0,27708534,26688192,6374565,1090519.8,22331182,25174080,31191580,4571.6,334.6,0,0,2627,9352.8,533.3,0,4752.2,3341.3,6974.4,1426.8,11597.5,9000,6865.9,18286.4,11414.4,0
HighRECost,NYISO,2040,203176670,10915596,1297203,980099.1,216369570,195869801.4,85040110,35767024,29175724,0.036,0.054,0.12,277045.97,45117.1,0,0,0,1.5,3.1,0.03,0,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.6,6.3,0.69,37.6,2305.9,0.16,316.9,106.4,423.3,0,0,0,304851.4,643.9,5.6,0,325572.8,325572.8,29.91,48.84,13.68,92.47,32.19,55.45,14.52,102.2,994719.9,392035.5,1386755.4,209778260,131329450,9302781,1584482.1,12399282,0,0,3684534,0,0,0,27434492,26688192,0,1039584.9,28433014,66515124,32696778,10976.8,334.6,0,0,2658.2,0,0,0,4763.2,3341.3,0,1426.8,14954.1,9179.4,19733,43907.1,11414.4,0
HighRECost,NYISO,2045,221359070,16546498,1382118.2,1120613.6,240408320,213398366.3,90738660,43210930,35156684,0.0359,0.054,0.12,255207.78,49691.5,0,0,0,1.3,2.8,0.02,0,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.9,6.2,0.66,38.1,2384.9,0.15,322.3,109.3,431.6,0,0,0,304851.4,643.9,5.6,0,325572.8,325572.8,27.69,44.49,16.68,88.89,29.95,51.55,17.75,99.29,530739.8,729378.6,1260118.4,232354080,149669660,14094410,1584482.1,11670058,0,0,4331537,0,0,0,27539018,26688192,0,1108257.9,47354580,64866732,33116804,15460.6,334.6,0,0,3130.5,0,0,0,4769.5,3341.3,0,1426.8,24980,9179.4,19262.7,61842.4,11414.4,0
HighRECost,NYISO,2050,238796640,25382430,1594241.5,1236977.6,267010300,230209041.6,88766130,49468444,41167500,0.0359,0.054,0.12,239057.74,54235.1,0,0,0,0.9,1.7,0.01,0,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.6,6.6,0.68,40.2,2522,0.16,339.9,115.4,455.4,0,0,0,220387.3,443,3.7,0,234602,234602,24.72,40.44,19.81,85.03,26.95,48.28,21.18,96.45,456124.2,1806435.2,2262559.2,258709340,178244180,21613770,1584482.1,11411796,0,0,5243216.5,0,0,0,27484058,17086578,0,1284504.5,71567760,68349590,33083604,22299,334.6,0,0,3798.9,0,0,0,4769.5,2139.2,0,1426.8,38026.2,9179.4,20316.7,89195.8,11414.4,0
HighRECost,NorthernGrid_East,2025,54637384,67042,0,542908.8,55247336,52672853.9,40402772,8256349,3284612.2,0.0359,0.054,0.12,108697.12,10625.9,243.5,26.8,3.88,8.9,626.5,0.12,245.4,27.6,273,211.6,23.1,3.35,7.9,552.6,0.1,213.2,24.4,237.6,844.1,85.7,12.36,36.5,2692.3,0.41,850,116.8,966.8,807.6,80.4,11.58,36.4,2689.9,0.39,813.2,116.6,929.8,12241947,1344.9,195,448386.5,31497.7,6,12335273.3,1388668.1,13723941.4,29.73,19.19,0,48.92,31.46,20.59,0,52.05,756.3,0,756.3,50275600,14844563,56727,319198.3,126037.5,11317742,0,1189188.5,1817494,0,74468.4,21719368,0,0,0,1844325,11811051,0,231,47.5,3746.3,0,795,549.3,789.1,10,5581.2,0,309.1,0,829,0,3344.2,924,0,0
HighRECost,NorthernGrid_East,2030,60358284,131642.1,0,712025.3,61201960,58188011.4,32848592,9051032,5485528.5,0.0359,0.054,0.12,108693.91,11740,100,10.7,1.55,3.9,263.3,0.05,100.8,11.8,112.6,91.9,9.8,1.41,3.7,246.2,0.05,92.6,11.1,103.7,182.7,13.3,1.87,12.6,826.8,0.09,183.6,37.3,220.9,558.9,50,7.15,30.3,2003.3,0.27,562.3,90.1,652.4,5766217.1,617.2,89.4,227492.3,15174.5,2.8,5809006,680468.8,6489474.8,21.67,18.63,0,40.3,22.98,20.04,0,43.02,9794.4,268.6,10063,57636456,28353364,111901.6,233755.5,125521.5,5167423.5,0,1313316,1310727.9,0,74468.4,22259292,0,0,0,1844166.8,25195880,0,231,35.9,3746.3,0,877.2,549.3,843.7,10,5793.2,0,52,0,829,0,6547.6,924,0,0
HighRECost,NorthernGrid_East,2035,70286420,235798.2,0,1247802.1,71770020,67759084.7,26961020,16646190,13346996,0.036,0.054,0.12,115055.05,14042.4,5.4,0.1,0.01,0.7,40.6,0,5.4,2,7.3,6.7,0.1,0.01,0.9,50.5,0,6.7,2.4,9.1,102.4,1.9,0.19,12.1,771,0.04,102.5,35.1,137.6,240.1,4.6,0.46,28.4,1801.7,0.11,240.4,82.1,322.5,367572.2,6.9,0.7,50829.5,2777.4,0.2,367970,133648.5,501618.5,21.39,18.93,0,40.32,22.7,20.3,0,43,485876.8,80369,566245.8,68470824,44809000,200890.4,233755.5,123518.2,0,0,1182671.5,830202.4,118043.8,73788.3,22080862,0,765.3,0,5241215,38385110,0,231,35.9,0,0,791.9,663.2,2168.5,10,5794.5,0,52,0,2249.5,0,10245.9,924,0,0
HighRECost,NorthernGrid_East,2040,77372900,13965,0,1579428.5,78966290,74590802.7,26223982,20862168,17774350,0.0359,0.054,0.12,117730.41,15450.1,3.6,0.1,0.01,0.5,26.9,0,3.6,1.3,4.9,4.3,0.1,0.01,0.6,32.6,0,4.3,1.6,5.9,141.6,2.7,0.27,16.7,1067,0.06,141.8,48.5,190.3,237.9,4.5,0.46,28.1,1786.1,0.11,238.1,81.4,319.5,270275.6,5.1,0.5,39336.7,2042.8,0.2,270568.9,100253.8,370822.7,21.75,19.28,0,41.02,23.06,20.7,0,43.76,779457,157912.2,937369.2,75878470,52742304,11886,233755.5,122643.1,0,0,1185426.1,576857,110291.4,73125.3,22006790,0,816.6,0,7788077.5,43768800,0,7.9,35.9,0,0,794.4,663.2,2384.1,10,5794.5,0,52,0,3475.3,0,11961.4,31.5,0,0
HighRECost,NorthernGrid_East,2045,84177660,35566.8,0,1955667,86168900,81150853.5,26782840,24165206,21126844,0.0359,0.054,0.12,117935.84,17093.6,5.8,0.1,0.01,0.8,43.5,0,5.8,2.1,7.8,5.9,0.1,0.01,0.8,44.9,0,5.9,2.1,8.1,169.7,3.2,0.32,20,1279.1,0.07,169.9,58.2,228,234.3,4.4,0.45,27.7,1764.2,0.1,234.6,80.3,314.9,478205.2,9,0.9,63885,3617.6,0.2,478719.8,171756.5,650476.4,21,19.78,0,40.78,22.28,21.31,0,43.59,967393.9,249901,1217300.6,83130536,59386056,30297.8,233755.5,122071.6,0,0,1193312.2,1128904.1,138900,73468.1,22017080,0,0,0,8178007,50014736,0,21.2,35.9,0,0,799.3,1099.5,3208.6,10,5794.5,0,0,0,3685.8,0,13596,84.6,0,0
HighRECost,NorthernGrid_East,2050,90001070,32689.7,0,2122624.2,92156380,86764865.2,26375122,25530884,22631680,0.0359,0.054,0.12,112933.9,18575.5,5.5,0.1,0.01,0.7,41.7,0,5.5,2,7.5,5.7,0.1,0.01,0.8,43,0,5.7,2,7.7,234.6,4.4,0.44,27.7,1769,0.1,234.8,80.5,315.3,245.3,4.6,0.47,29,1847.1,0.11,245.6,84.1,329.7,492104.5,9.3,0.9,65526.9,3722.5,0.2,492634.1,176525.7,669159.8,20.97,19.39,0,40.36,22.23,20.9,0,43.13,1134612.2,305559.3,1440189,89257176,65781260,27803.8,233755.5,122031.3,0,0,1213750.1,1182809.8,129786.9,73065.3,21706666,0,0,0,10795054,53772456,0,21.2,35.9,0,0,813.4,1110.6,3195.8,10,5794.5,0,0,0,4770.1,0,14714.6,84.6,0,0
HighRECost,NorthernGrid_South,2025,84253224,1778161.6,0,273905.8,86305290,81224471.6,54759224,4006331.5,5274099,0.0359,0.054,0.12,115705.02,18952.8,318.9,27,3.84,18.8,1418.3,0.15,320.8,61.1,381.9,345.9,29.6,4.21,20.1,1514.7,0.16,347.9,65.3,413.2,482.9,30.3,4.19,37.9,2924.1,0.23,485,125.1,610,615.9,42.6,5.96,44.7,3430.2,0.29,618.7,147,765.7,27929519.3,2364.5,336.4,1643519.6,124203,13.3,28091804.9,5348394,33440198.9,34.22,22.02,0,56.24,36.42,24.17,0,60.59,66.7,31928.2,32274.5,87573060,31546064,1514326,322711.6,0,19288344,0,2513893.8,22800038,10170.7,5357224,6733541,0,641.9,0,27172656,1859514.8,0,1132.4,50.4,3004.1,0,1368,8385.4,1872.3,719.6,3518.7,0,717.1,0,9864.8,0,689.7,4529.4,0,0
HighRECost,NorthernGrid_South,2030,94292650,1830001.2,0,485743,96608390,90902844.8,60382584,9386094,6472140,0.0359,0.054,0.12,115680.24,21302.4,277.3,21.2,2.99,18.4,1200.2,0.13,278.7,54.2,332.9,272.5,20.8,2.93,18.1,1185.7,0.13,273.9,53.5,327.4,247.1,9.9,1.28,24.4,1567.8,0.11,247.7,71.2,318.9,499.7,31.4,4.35,39.2,2523.1,0.24,501.8,114.5,616.3,25978437.9,1989.3,280.4,1719904,112451,12.2,26114278,5074282,31188560,26.2,22.49,0,48.69,27.95,24.74,0,52.69,12576.2,422846.9,437711.8,93694440,36225812,1556883.9,322711.6,0,15748211,0,2765823.2,27733946,32270.4,5339326.5,6733541,0,1740.3,0,29048080,4411908,0,1132.4,50.4,3004.1,0,1532.3,10169.7,1842.8,719.6,3518.7,0,491.1,0,10664.2,0,1411.6,4529.4,0,0
HighRECost,NorthernGrid_South,2035,109382250,1896983.6,0,930287.2,112209510,105449887.5,58499736,19327656,21712746,0.0359,0.054,0.12,114278.76,24696.6,146.6,2.8,0.28,17.3,1105.9,0.06,146.7,50.3,197,133.6,2.5,0.25,15.8,1008.6,0.06,133.8,45.9,179.7,161.5,3,0.31,19.1,1217.6,0.07,161.6,55.4,217,295,5.6,0.57,34.9,2214.5,0.13,295.4,100.9,396.3,16794300.8,316.5,31.7,1986749.6,126733.3,7.3,16812375,5765394.3,22577769.3,26.51,22.29,0,48.8,28.3,24.48,0,52.78,214315.4,4213231.5,4435022.5,114594610,53709772,1616269.5,101738.8,0,0,0,2413310.8,47312304,11622.6,5109419.5,6732744,0,727.4,0,46864508,4431960.5,0,1143.7,20.4,0,0,1390.9,21174.3,1748,719.6,3518.7,0,253.6,0,18348.4,0,1471.6,4574.6,0,0
HighRECost,NorthernGrid_South,2040,124747050,1675149.6,0,1154197.8,127576400,120262277.7,61782380,24343820,31128092,0.0359,0.054,0.12,114608.85,28653.1,146.2,2.8,0.28,17.3,1102.9,0.06,146.3,50.2,196.5,120.4,2.3,0.23,14.3,908.8,0.05,120.5,41.4,161.9,147.9,2.8,0.28,17.5,1115.4,0.06,148,50.7,198.7,297,5.6,0.57,35.1,2232.8,0.13,297.4,101.7,399,19637339.8,370.1,37,2322595.7,148188.7,8.5,19658473,6740946.6,26399419.5,27.89,22.8,0,50.69,29.72,25.01,0,54.73,254995.6,6613993.5,6870417.5,134360670,65794016,1425221.9,101738.8,0,0,0,2475594.8,55457932,7418,4841243.5,6732699,0,396.9,0,58760824,4557597,0,1011.3,20.4,0,0,1391,24221.4,1748,704,3518.7,0,239.6,0,23571.7,0,1499.9,4045.2,0,0
HighRECost,NorthernGrid_South,2045,138886180,2383551.2,0,1236894,142506610,133893102.3,68474260,27694452,30443962,0.0359,0.054,0.12,110891.28,32596.7,143.8,2.7,0.27,17,1084.8,0.06,143.9,49.3,193.3,100.2,1.9,0.19,11.9,756.1,0.04,100.3,34.4,134.7,126.8,2.4,0.24,15,956.5,0.06,126.9,43.5,170.4,288.6,5.5,0.55,34.1,2175.3,0.13,288.9,99,387.9,20881645.2,393.6,39.4,2469584,157579.2,9.1,20904117,7167919.7,28072036.8,26.51,22.45,0.67,49.69,28.32,24.76,0.71,53.85,332918.4,12089881,12426872,145256130,74032360,2023635.2,101738.8,0,0,0,2427724.8,59061748,4386.2,3300288.5,6731779,0,194.4,0,67830450,3774182.8,0,1442.2,20.4,0,0,1396.6,26411.7,1730.9,504.6,3518.7,0,239.6,0,28757.8,0,1249.4,5768.7,0,0
HighRECost,NorthernGrid_South,2050,152025470,5248771,1226349.5,1453316.8,159953920,146560143.7,69408530,29465028,42706644,0.0359,0.0539,0.12,111674.78,36522.6,138,2.6,0.26,16.3,1041.3,0.06,138.1,47.4,185.5,83.4,1.6,0.16,9.9,629.1,0.04,83.5,28.6,112.1,110.1,2.1,0.21,13,831,0.05,110.3,37.8,148.1,290.3,5.5,0.55,34.3,2186.5,0.13,290.6,99.5,390.1,23899995.1,450.4,45,2826144.3,180355.7,10.4,23925715.3,8203576.4,32129291.8,25.25,22.52,0.59,48.4,27.37,25.47,0.63,53.51,326294.2,16485669,16813724,173195540,90545384,4461208,101738.8,0,0,0,2485824,67644430,6559.4,2720187.8,6731246.5,0,319.9,984450.8,83798380,4261174.5,0,3208.3,20.4,0,0,1430,29959.9,1167.7,422.7,3518.7,0,11.4,437.9,36253.1,0,1437.6,12833.3,3503.6,0
HighRECost,NorthernGrid_West,2025,158100640,6275.8,176548.6,2274009.8,160557470,152414716.7,131581460,143229.9,26136206,0.036,0.054,0.12,111253.41,33227.5,17.7,0.3,0.03,2.8,166.5,0.02,17.7,7.7,25.4,19.9,0.4,0.04,3.1,186.9,0.02,19.9,8.6,28.6,294,15.9,2.15,25.4,1972.8,0.13,295.1,84.2,379.3,503.1,36.4,5.11,35.1,2681.7,0.24,505.6,115.1,620.7,3296734.2,62.1,6.2,518112.5,31051.7,3.5,3300281.9,1444400,4744681.9,26.13,19.1,0.72,45.97,27.72,20.52,0.78,49.03,2946,11.1,2957.1,186550450,28976020,5215.9,1228183.5,8117162.5,0,0,817096.6,8636557,0,145213.4,130110640,9193461,0,137997.4,4116025.5,24042896,0,20.1,205.7,0,0,653.9,6007.1,1371.8,19.5,30835.3,1151,2.5,314,1961.8,0,7528,80.2,2512,0
HighRECost,NorthernGrid_West,2030,174448350,13599,182575.8,2128067.8,176772590,168174908.6,128963500,1492522.9,23153592,0.036,0.054,0.12,111244.06,35392,14.1,0.3,0.03,2.2,107.6,0.02,14.1,5.4,19.5,10.9,0.2,0.02,1.5,82.8,0.01,10.9,4,14.9,46.1,1.3,0.16,5,322.8,0.02,46.2,14.7,60.9,432.8,29.7,4.16,31.9,2035.9,0.21,434.9,92.6,527.5,2798880.8,52.7,5.3,438276.3,21345.9,3.2,2801892.8,1075245.5,3877138.3,19.28,18.72,2.4,40.46,20.43,20.05,2.54,43.08,58814.6,38412.8,97227.4,198433660,47809084,11554.2,694166,6139442,0,0,927887.4,7291508,0,144616.6,127004270,9193461,0,145558.3,7031807,39849390,0,20.1,133.2,0,0,741.5,5675.3,1427.4,19.5,31763.1,1151,0,314,3251.4,0,11365.8,80.2,2512,0
HighRECost,NorthernGrid_West,2035,194986430,20762.1,254762.1,2746368.2,198008340,187974581,130296690,3668991.5,26543892,0.036,0.054,0.12,114245.02,39188.2,12.9,0.2,0.02,2,98.2,0.01,12.9,4.9,17.8,9,0.2,0.02,1.2,68,0.01,9,3.2,12.2,30.2,0.6,0.06,3.6,227.4,0.01,30.2,10.3,40.5,265.3,5,0.5,31.3,1998.8,0.12,265.5,90.9,356.5,2846520.4,53.6,5.4,438410.4,21698.6,3.2,2849583.6,1085891.7,3935475.3,22.14,19.11,0,41.25,23.47,20.52,0,43.99,182385.7,669759.8,852186.8,220883230,67711630,17592.7,581470,5484564,0,0,859416.9,7448167,3428.9,140132.7,130100430,9193461,0,202356.5,16879422,49972796,0,19.4,117.9,0,0,687.5,5731.1,1423.5,19.5,31791.3,1151,0,314,7825.2,0,14363.1,77.7,2512,0
HighRECost,NorthernGrid_West,2040,214420690,3416.1,255134.6,3230375.8,217909600,206710103.9,136708320,6595540.5,31538458,0.036,0.054,0.12,119005.54,43287.4,20.6,0.4,0.04,2.9,156.2,0.02,20.6,7.5,28.1,5.7,0.1,0.01,0.8,43.5,0,5.7,2.1,7.8,34.9,0.7,0.07,4.1,263.5,0.02,35,12,46.9,264.9,5,0.5,31.3,1996.5,0.12,265.1,90.8,356,4996793,94.2,9.4,692423,37925,4.1,5002170.2,1823703.4,6825873.6,23.51,20.25,0.36,44.12,24.92,21.77,0.38,47.07,382352.7,1508715.5,1891073.8,242852530,81201290,2886.5,581470,6032495,0,0,857401.1,13795920,842.2,135294.9,131706770,9193461,0,202105.7,22699886,57643990,0,2.5,117.9,0,0,687.5,9270.9,969.5,19.5,31791.3,1151,0,314,10731.7,0,16825.9,10,2512,0
HighRECost,NorthernGrid_West,2045,232522140,3424.4,348798.2,3649032.5,236523420,224160727.9,144336690,11537093,32797020,0.036,0.054,0.12,117753.46,46963.4,24.7,0.5,0.05,3.3,187.4,0.02,24.8,8.9,33.7,4.5,0.1,0.01,0.7,34.3,0,4.5,1.7,6.2,35.8,0.7,0.07,4.2,269.8,0.02,35.8,12.3,48.1,257.7,4.9,0.49,30.4,1943,0.11,257.9,88.4,346.3,6373390.2,120.1,12,855041,48313,4.7,6380248.8,2296048,8676296.8,22.85,20.2,1.81,44.88,24.24,21.75,1.93,47.94,801681.5,2600866.5,3402548,257783330,92186710,2895.7,581470,5141097.5,0,0,868956.6,17782358,1414.2,0,132616140,9193461,0,277788.5,29893044,61424716,0,2.5,117.9,0,0,698.2,10819,969.5,0,31799.4,1151,0,314,14462.6,0,18190.7,10,2512,0
HighRECost,NorthernGrid_West,2050,249583570,20101.8,444103.4,4046059.2,254093800,240608726.2,144774740,11769550,37905636,0.036,0.054,0.12,118517.73,50377.6,29.9,0.6,0.06,3.9,226.7,0.02,30,10.7,40.6,3.9,0.1,0.01,0.6,29.6,0,3.9,1.5,5.4,35.7,0.7,0.07,4.2,269.1,0.02,35.7,12.2,47.9,264.2,5,0.5,31.2,1991.6,0.12,264.5,90.6,355.1,8388296.4,158.1,15.8,1093062.7,63517.9,5.6,8397323.4,2987412.2,11384735.6,22.08,20.29,0.8,43.19,23.43,21.88,0.85,46.18,763321.2,4139168.8,4902490.5,280229900,109319064,17084.1,581470,5939858.5,0,0,1024877.2,23544352,9475.8,0,131272680,9193461,0,352447.9,38808068,69486130,0,15.5,117.9,0,0,821.8,11405.8,4260.9,0,31799.4,1151,0,314,19135.7,0,20538.9,61.8,2512,0
HighRECost,PJM_East,2025,729503100,4739188,5368896.5,4171636.8,743782800,703274034.7,652062400,2212083,4437466,0.0359,0.054,0.12,122076.92,166849.3,360.6,27,3.8,26.5,1863.4,0.21,362.4,82.1,444.5,379.8,28.5,4.01,27.8,1958.7,0.23,381.7,86.3,468,290.5,7,0.79,33.1,2583.9,0.13,290.9,110.1,401,620.7,41,5.77,47.7,3454.8,0.34,623.5,150.7,774.3,269013593.6,20161.1,2838.4,19755766,1390104.5,159.8,270389267,61224505.7,331613772.7,36.39,24.29,0.45,61.13,38.58,26.59,0.47,65.65,435,0,435,746008200,91720410,4043433.2,5811802.5,0,170547550,0,6225401,297741730,2336203.5,0,9139849,159425470,890659.2,4351089,48783890,36670164,40952.7,3005.6,1143.7,37922.3,0,4336.7,55455.9,21638.9,0,3160.5,19959.7,9042.1,5203,22503.7,12,11604,13703.4,41624,0
